City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Maniitsoq,GL,2021-10-21 23:38:23,65.4167,-52.9,32.49,59,50,8.97
150,Bethel,US,2021-10-21 23:38:24,41.3712,-73.414,65.25,81,54,4.92
151,Nanortalik,GL,2021-10-21 23:38:25,60.1432,-45.2371,41.59,52,100,11.68
152,Chepareria,KE,2021-10-21 23:38:26,1.3077,35.2039,61.36,78,68,3.06
153,Karratha,AU,2021-10-21 23:38:27,-20.7377,116.8463,85.39,23,1,18.7
154,Takoradi,GH,2021-10-21 23:38:28,4.8845,-1.7554,76.62,91,100,6.76
155,Laguna,US,2021-10-21 23:38:28,38.421,-121.4238,78.93,65,90,3.0
156,Barkhan,PK,2021-10-21 23:38:32,29.8977,69.5256,65.75,21,1,3.22
157,Kapit,MY,2021-10-21 23:38:32,2.0167,112.9333,73.98,99,100,0.47
158,Phuket,TH,2021-10-21 23:38:33,8.0,98.25,83.08,94,40,3.44
159,Marzuq,YE,2021-10-21 23:38:34,14.4,46.4667,72.07,32,22,4.9
160,Faanui,PF,2021-10-21 23:37:37,-16.4833,-151.75,79.52,72,22,7.83
161,Salvador,SV,2021-10-21 23:33:44,13.8333,-88.9167,77.04,95,32,2.53
162,Xai-Xai,MZ,2021-10-21 23:38:39,-25.0519,33.6442,66.49,77,73,10.65
163,Bambous Virieux,MU,2021-10-21 23:38:42,-20.3428,57.7575,74.21,88,75,6.91
164,Victor Harbor,AU,2021-10-21 23:38:45,-35.5667,138.6167,70.2,75,7,1.01
165,Valea Salciei,RO,2021-10-21 23:38:45,45.497,26.826,55.13,57,13,3.69
166,Meulaboh,ID,2021-10-21 23:38:46,4.1363,96.1285,75.92,90,96,3.02
167,Sairang,IN,2021-10-21 23:38:47,23.8,92.6667,68.41,98,71,2.33
168,Port Elizabeth,ZA,2021-10-21 23:38:47,-33.918,25.5701,64.69,88,40,19.57
169,Ribeira Grande,PT,2021-10-21 23:38:48,38.5167,-28.7,69.06,71,100,12.26
170,Sokoni,TZ,2021-10-21 23:38:49,-6.4333,39.55,73.69,80,28,9.91
171,Lebu,CL,2021-10-21 23:36:21,-37.6167,-73.65,49.98,68,1,17.98
172,Fort Nelson,CA,2021-10-21 23:38:51,58.8053,-122.7002,33.39,86,40,6.91
173,Hermanus,ZA,2021-10-21 23:38:56,-34.4187,19.2345,60.8,74,100,15.61
174,Cidreira,BR,2021-10-21 23:38:59,-30.1811,-50.2056,65.05,83,7,15.82
175,Dingle,PH,2021-10-21 23:38:59,10.9995,122.6711,80.85,86,95,7.02
176,Chumikan,RU,2021-10-21 23:39:02,54.7183,135.315,30.13,80,18,18.59
177,Alofi,NU,2021-10-21 23:39:03,-19.0595,-169.9187,80.49,57,75,14.97
178,San Francisco,US,2021-10-21 23:37:31,37.7749,-122.4194,75.92,87,75,3.0
179,Cuamba,MZ,2021-10-21 23:39:04,-14.8031,36.5372,71.71,58,97,3.15
180,Flin Flon,CA,2021-10-21 23:39:05,54.7682,-101.865,39.04,41,20,9.22
181,Bonthe,SL,2021-10-21 23:39:06,7.5264,-12.505,78.46,86,100,6.24
