City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Walvis Bay,NA,-22.9575,14.5053,61.75,77,29,10.36,scattered clouds
241,Zorritos,PE,-3.6805,-80.6782,75.49,70,43,11.59,scattered clouds
242,Manta,EC,-0.95,-80.7333,78.58,73,75,12.66,broken clouds
243,Verkhnyaya Khava,RU,51.8404,39.9413,43.68,79,17,7.02,few clouds
244,Rabo De Peixe,PT,37.8,-25.5833,71.11,94,75,17.27,broken clouds
245,Clyde,US,41.3042,-82.9752,57.04,92,100,8.55,overcast clouds
246,Nizwa,OM,22.9333,57.5333,79.27,31,0,2.04,clear sky
247,Rundu,NA,-17.9333,19.7667,83.44,32,63,3.89,broken clouds
248,Mayo,US,38.8876,-76.5119,64.35,73,40,3.0,scattered clouds
249,Houston,US,29.7633,-95.3633,73.9,35,1,1.99,clear sky
250,Voi,KE,-3.3945,38.563,77.13,66,84,9.22,broken clouds
251,Pevek,RU,69.7008,170.3133,-0.15,96,100,9.06,overcast clouds
252,Nyandoma,RU,61.669,40.1991,43.16,87,100,7.49,overcast clouds
253,Tongliao,CN,43.6125,122.2653,35.42,60,42,14.03,scattered clouds
254,Salalah,OM,17.0151,54.0924,80.26,70,2,9.84,clear sky
255,Itaituba,BR,-4.2761,-55.9836,96.96,41,20,9.22,few clouds
256,Orcopampa,PE,-15.2661,-72.3417,58.89,43,89,3.18,overcast clouds
257,Orichi,RU,58.4036,49.0572,41.04,95,99,7.05,overcast clouds
258,Castro,BR,-24.7911,-50.0119,71.35,75,51,7.9,broken clouds
259,Saint-Pierre,RE,-21.3393,55.4781,73.08,78,0,3.44,clear sky
260,Santa Rosa,PH,14.3122,121.1114,80.58,77,10,11.7,clear sky
261,Natal,BR,-5.795,-35.2094,88.45,62,20,20.71,few clouds
262,Manokwari,ID,-0.8667,134.0833,78.31,74,82,3.91,broken clouds
263,Udachnyy,RU,66.4167,112.4,18.59,88,100,14.92,overcast clouds
264,Bozdar,PK,27.1828,68.636,75.27,15,0,3.24,clear sky
265,Leshukonskoye,RU,64.8989,45.7622,28.71,99,100,2.3,light snow
266,Nizhnyaya Tavda,RU,57.6731,66.1725,28.78,98,99,5.41,light snow
267,Sumbawanga,TZ,-7.9667,31.6167,66.34,53,59,1.36,broken clouds
268,Dunedin,NZ,-45.8742,170.5036,50.5,83,0,1.52,clear sky
269,Ahipara,NZ,-35.1667,173.1667,62.42,97,100,11.32,overcast clouds
270,Susanino,RU,58.1461,41.5872,43.5,95,81,6.64,broken clouds
271,Lata,PT,40.1629,-8.3327,63.91,98,100,4.41,overcast clouds
272,Salinopolis,BR,-0.6136,-47.3561,82.99,76,24,7.27,few clouds
273,Cam Ranh,VN,11.9214,109.1591,78.76,89,75,11.5,broken clouds
274,Port Lincoln,AU,-34.7333,135.8667,52.27,70,1,7.18,clear sky
275,Znamenskoye,RU,57.1281,73.8282,24.75,90,100,8.25,light snow
276,Longyearbyen,SJ,78.2186,15.6401,17.58,84,59,4.41,broken clouds
277,Nanakuli,US,21.3906,-158.1547,77.7,75,5,2.82,clear sky
278,Port-Cartier,CA,50.0334,-66.8654,50.22,43,54,3.74,broken clouds
279,Nsanje,MW,-16.92,35.262,80.74,33,0,4.59,clear sky
280,Jimma,ET,7.6667,36.8333,59.07,65,60,1.57,broken clouds
281,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,4.61,scattered clouds
282,Kedrovyy,RU,56.1667,91.8167,25.21,76,76,5.77,broken clouds
283,Svetlaya,RU,46.5389,138.3297,45.55,60,100,8.68,overcast clouds
284,Vera Cruz,BR,-12.6333,-41.0333,88.52,36,43,4.92,scattered clouds
285,Ladario,BR,-19.0047,-57.6017,98.85,29,45,6.46,light rain
286,Osorno,CL,-40.5667,-73.15,62.91,51,0,10.36,clear sky
287,Armizonskoye,RU,55.9461,67.6736,30.69,97,100,12.53,light snow
288,Mahebourg,MU,-20.4081,57.7,73.69,78,40,4.61,scattered clouds
289,Carutapera,BR,-1.195,-46.02,84.16,71,35,5.66,scattered clouds
290,Praia,CV,14.9215,-23.5087,81.14,78,40,16.11,scattered clouds
291,Richards Bay,ZA,-28.783,32.0377,64.9,84,97,9.24,overcast clouds
292,Port Augusta,AU,-32.5,137.7667,57.34,50,99,6.17,overcast clouds
293,Gigmoto,PH,13.7796,124.39,80.78,70,95,12.95,overcast clouds
294,San Patricio,US,28.017,-97.5169,81.05,18,0,3.18,clear sky
295,Jiuquan,CN,39.7432,98.5174,39.47,40,0,4.61,clear sky
296,Clyde River,CA,70.4692,-68.5914,30.43,100,90,17.27,snow
297,Oksovskiy,RU,62.6062,39.8984,44.37,85,100,7.18,overcast clouds
298,Camana,PE,-16.6228,-72.7111,69.01,72,82,6.85,broken clouds
299,Mendi,PG,-6.1761,143.6513,53.33,97,100,3.11,overcast clouds
300,Wodzislaw Slaski,PL,50.0038,18.4721,57.78,53,1,9.71,clear sky
301,Srednekolymsk,RU,67.45,153.6833,-8.9,99,100,3.67,overcast clouds
302,Meulaboh,ID,4.1363,96.1285,75.63,90,93,4.47,overcast clouds
303,Sindor,RU,62.8629,51.8905,32.02,99,100,1.68,overcast clouds
304,Atlantic City,US,39.3643,-74.4229,69.49,78,78,12.66,broken clouds
305,Tual,ID,-5.6667,132.75,83.07,72,100,5.88,overcast clouds
306,Jaumave,MX,23.4167,-99.3833,75.96,38,0,3.42,clear sky
307,Rincon,US,32.296,-81.2354,61.86,69,56,9.35,broken clouds
308,Santa Cruz,BO,-17.8,-63.1667,92.66,65,75,10.36,broken clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,87.19,63,27,3.67,scattered clouds
310,Bangui,CF,4.3612,18.555,89.78,55,20,0.0,few clouds
311,Vanavara,RU,60.34,102.2797,30.65,92,100,13.65,light snow
312,San Isidro,PE,-12.1167,-77.05,69.26,68,90,1.01,overcast clouds
313,Kodiak,US,57.79,-152.4072,45.91,93,90,26.46,moderate rain
314,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,0,11.5,clear sky
315,Lewisville,US,33.0462,-96.9942,73.17,29,0,3.0,clear sky
316,Faanui,PF,-16.4833,-151.75,78.35,68,20,17.34,few clouds
317,Colac,AU,-38.3333,143.5833,42.42,96,3,3.71,clear sky
318,Oyama,JP,36.3,139.8,48.09,64,82,4.43,broken clouds
319,Palana,RU,59.1167,159.9667,18.16,86,80,3.42,broken clouds
320,Siocon,PH,7.7061,122.1353,78.85,89,95,5.61,overcast clouds
321,Esperance,AU,-33.8667,121.9,53.44,71,2,16.35,clear sky
322,Chinsali,ZM,-10.5414,32.0816,78.26,29,68,6.38,broken clouds
323,Debre Zeyit,ET,8.75,38.9833,56.12,42,37,6.85,scattered clouds
324,Severodvinsk,RU,64.5635,39.8302,41.29,98,100,7.72,light rain
325,Barstow,US,34.8986,-117.0228,77.77,29,0,6.29,clear sky
326,Kolondieba,ML,11.0882,-6.8926,83.53,57,88,5.3,overcast clouds
327,Vaitape,PF,-16.5167,-151.75,78.33,67,19,17.36,few clouds
328,Songea,TZ,-10.6833,35.65,72.41,59,65,8.84,broken clouds
329,Mana,GF,5.6592,-53.7767,83.77,69,41,7.94,scattered clouds
330,Axim,GH,4.8699,-2.2405,79.45,83,94,9.62,overcast clouds
331,Bethanien,NA,-26.502,17.1583,81.19,12,0,6.69,clear sky
332,Imeni Zhelyabova,RU,58.9544,36.5956,42.69,96,62,5.14,broken clouds
333,Mareeba,AU,-17.0,145.4333,68.72,96,37,2.06,scattered clouds
334,Gat,IL,31.61,34.7642,74.39,63,38,5.23,scattered clouds
335,Aranos,NA,-24.1333,19.1167,79.75,13,0,10.83,clear sky
336,Anchorage,US,61.2181,-149.9003,42.8,83,90,13.0,light rain
337,San Quintin,MX,30.4833,-115.95,69.53,69,0,7.92,clear sky
338,Jacareacanga,BR,-6.2222,-57.7528,95.76,37,49,3.53,scattered clouds
339,Gamboma,CG,-1.8764,15.8644,78.39,74,92,2.39,overcast clouds
340,Mitzic,GA,0.7821,11.549,71.04,96,100,0.49,moderate rain
341,Naze,JP,28.3667,129.4833,67.42,77,3,6.31,clear sky
342,Kalanguy,RU,51.0167,116.5167,21.61,45,7,2.66,clear sky
343,Shimoda,JP,34.6667,138.95,64.69,64,78,3.04,broken clouds
344,Akdepe,TM,42.0551,59.3788,48.29,49,70,6.71,broken clouds
345,Roma,US,43.2128,-75.4557,56.12,82,89,3.0,overcast clouds
346,Andros Town,BS,24.7,-77.7667,82.36,57,69,20.89,broken clouds
347,Cuenca,EC,-2.8833,-78.9833,59.13,94,75,9.22,light rain
